model,run_id,protocol_id,item_id,n_samples,flat_ratings,flat_fraction,mean_normalized_spread,unique_argmax_fraction,mean_argmax_tie_size,mean_sample_tv_from_uniform,aggregate_tv_from_uniform,explicit_prompt_or_persona_mismatch,explicit_indifference,explicit_neutral_policy,other_saved_rationale,no_saved_rationale,rationale_example
anthropic/claude-fable-5.1,20260916T153341Z_4230ccaa1e16,4230ccaa1e160c793a906aef6b786d735d9fdbf71c3333691b0eba17dcf33928,Abortion,12,0,0.0,0.7291666666666666,0.0,2.5833333333333335,0.17751295001295,0.17523421023421024,0,0,0,0,0,
anthropic/claude-fable-5.1,20260916T153341Z_4230ccaa1e16,4230ccaa1e160c793a906aef6b786d735d9fdbf71c3333691b0eba17dcf33928,Attending peaceful demonstrations,12,0,0.0,0.8333333333333334,1.0,1.0,0.29365079365079366,0.29365079365079366,0,0,0,0,0,
anthropic/claude-fable-5.1,20260916T153341Z_4230ccaa1e16,4230ccaa1e160c793a906aef6b786d735d9fdbf71c3333691b0eba17dcf33928,"Determination, perseverance",12,0,0.0,0.5,1.0,1.0,0.16666666666666666,0.16666666666666666,0,0,0,0,0,
anthropic/claude-fable-5.1,20260916T153341Z_4230ccaa1e16,4230ccaa1e160c793a906aef6b786d735d9fdbf71c3333691b0eba17dcf33928,God,12,12,1.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,12,
anthropic/claude-fable-5.1,20260916T153341Z_4230ccaa1e16,4230ccaa1e160c793a906aef6b786d735d9fdbf71c3333691b0eba17dcf33928,Homosexuality,12,0,0.0,1.0,1.0,1.0,0.26782263630089714,0.26425120772946864,0,0,0,0,0,
anthropic/claude-fable-5.1,20260916T153341Z_4230ccaa1e16,4230ccaa1e160c793a906aef6b786d735d9fdbf71c3333691b0eba17dcf33928,Imagination,12,0,0.0,0.5,1.0,1.0,0.16666666666666666,0.16666666666666666,0,0,0,0,0,
anthropic/claude-fable-5.1,20260916T153341Z_4230ccaa1e16,4230ccaa1e160c793a906aef6b786d735d9fdbf71c3333691b0eba17dcf33928,Independence,12,0,0.0,0.5,1.0,1.0,0.16666666666666666,0.16666666666666666,0,0,0,0,0,
anthropic/claude-fable-5.1,20260916T153341Z_4230ccaa1e16,4230ccaa1e160c793a906aef6b786d735d9fdbf71c3333691b0eba17dcf33928,Joining in boycotts,12,0,0.0,0.7083333333333334,1.0,1.0,0.2261904761904762,0.22619047619047616,0,0,0,0,0,
anthropic/claude-fable-5.1,20260916T153341Z_4230ccaa1e16,4230ccaa1e160c793a906aef6b786d735d9fdbf71c3333691b0eba17dcf33928,Obedience,12,5,0.4166666666666667,0.2916666666666667,0.5833333333333334,1.4166666666666667,0.09722222222222222,0.09722222222222218,0,0,0,0,5,
anthropic/claude-fable-5.1,20260916T153341Z_4230ccaa1e16,4230ccaa1e160c793a906aef6b786d735d9fdbf71c3333691b0eba17dcf33928,Religion,12,0,0.0,0.5416666666666666,0.5,1.5,0.16060606060606056,0.1189393939393939,0,0,0,0,0,
anthropic/claude-fable-5.1,20260916T153341Z_4230ccaa1e16,4230ccaa1e160c793a906aef6b786d735d9fdbf71c3333691b0eba17dcf33928,Signing a petition,12,0,0.0,0.8333333333333334,1.0,1.0,0.2972883597883598,0.29728835978835977,0,0,0,0,0,
anthropic/claude-fable-5.1,20260916T153341Z_4230ccaa1e16,4230ccaa1e160c793a906aef6b786d735d9fdbf71c3333691b0eba17dcf33928,dealing with people?,12,0,0.0,0.5,1.0,1.0,0.16666666666666666,0.16666666666666666,0,0,0,0,0,
deepseek/deepseek-v4.1-flash,20260916T151414Z_8c27d32cd851,8c27d32cd851de5f217cb354b15dc270cc6f4ec2d02fb15dbb20fde0790c3571,Abortion,12,2,0.16666666666666666,0.6041666666666666,0.16666666666666666,4.75,0.12256881816001836,0.0984038174823279,0,0,0,0,2,
deepseek/deepseek-v4.1-flash,20260916T151414Z_8c27d32cd851,8c27d32cd851de5f217cb354b15dc270cc6f4ec2d02fb15dbb20fde0790c3571,Attending peaceful demonstrations,12,2,0.16666666666666666,0.4375,0.5833333333333334,1.5833333333333333,0.09326923076923077,0.08258547008547013,0,0,0,0,2,
deepseek/deepseek-v4.1-flash,20260916T151414Z_8c27d32cd851,8c27d32cd851de5f217cb354b15dc270cc6f4ec2d02fb15dbb20fde0790c3571,"Determination, perseverance",12,1,0.08333333333333333,0.875,0.9166666666666666,1.0833333333333333,0.2881944444444445,0.28819444444444453,0,0,0,0,1,
deepseek/deepseek-v4.1-flash,20260916T151414Z_8c27d32cd851,8c27d32cd851de5f217cb354b15dc270cc6f4ec2d02fb15dbb20fde0790c3571,God,12,4,0.3333333333333333,0.625,0.6666666666666666,1.3333333333333333,0.21527777777777782,0.10416666666666671,0,0,0,0,4,
