model,run_id,protocol_id,item_id,canonical_n,reversed_n,canonical_p,reversed_p,canonical_reversed_tv,mean_presented_position0_minus1,literal_example_pair_0_2_1_5
anthropic/claude-fable-5.1,20260916T153341Z_4230ccaa1e16,4230ccaa1e160c793a906aef6b786d735d9fdbf71c3333691b0eba17dcf33928,"Determination, perseverance",6,6,"[0.667, 0.333]","[0.667, 0.333]",0.0,0.0,0
anthropic/claude-fable-5.1,20260916T153341Z_4230ccaa1e16,4230ccaa1e160c793a906aef6b786d735d9fdbf71c3333691b0eba17dcf33928,God,6,6,"[0.500, 0.500]","[0.500, 0.500]",0.0,0.0,0
anthropic/claude-fable-5.1,20260916T153341Z_4230ccaa1e16,4230ccaa1e160c793a906aef6b786d735d9fdbf71c3333691b0eba17dcf33928,Imagination,6,6,"[0.667, 0.333]","[0.667, 0.333]",0.0,0.0,0
anthropic/claude-fable-5.1,20260916T153341Z_4230ccaa1e16,4230ccaa1e160c793a906aef6b786d735d9fdbf71c3333691b0eba17dcf33928,Independence,6,6,"[0.667, 0.333]","[0.667, 0.333]",0.0,0.0,0
anthropic/claude-fable-5.1,20260916T153341Z_4230ccaa1e16,4230ccaa1e160c793a906aef6b786d735d9fdbf71c3333691b0eba17dcf33928,Obedience,6,6,"[0.333, 0.667]","[0.472, 0.528]",0.13888888888888884,-0.8333333333333334,0
anthropic/claude-fable-5.1,20260916T153341Z_4230ccaa1e16,4230ccaa1e160c793a906aef6b786d735d9fdbf71c3333691b0eba17dcf33928,dealing with people?,6,6,"[0.667, 0.333]","[0.667, 0.333]",0.0,0.0,0
deepseek/deepseek-v4.1-flash,20260916T151414Z_8c27d32cd851,8c27d32cd851de5f217cb354b15dc270cc6f4ec2d02fb15dbb20fde0790c3571,"Determination, perseverance",6,6,"[0.778, 0.222]","[0.799, 0.201]",0.020833333333333356,-0.16666666666666666,0
deepseek/deepseek-v4.1-flash,20260916T151414Z_8c27d32cd851,8c27d32cd851de5f217cb354b15dc270cc6f4ec2d02fb15dbb20fde0790c3571,God,6,6,"[0.278, 0.722]","[0.514, 0.486]",0.23611111111111122,-1.5,0
deepseek/deepseek-v4.1-flash,20260916T151414Z_8c27d32cd851,8c27d32cd851de5f217cb354b15dc270cc6f4ec2d02fb15dbb20fde0790c3571,Imagination,6,6,"[0.673, 0.327]","[0.743, 0.257]",0.07003968253968251,-0.5,0
deepseek/deepseek-v4.1-flash,20260916T151414Z_8c27d32cd851,8c27d32cd851de5f217cb354b15dc270cc6f4ec2d02fb15dbb20fde0790c3571,Independence,6,6,"[0.693, 0.307]","[0.720, 0.280]",0.027116402116402122,-0.08333333333333333,0
deepseek/deepseek-v4.1-flash,20260916T151414Z_8c27d32cd851,8c27d32cd851de5f217cb354b15dc270cc6f4ec2d02fb15dbb20fde0790c3571,Obedience,6,6,"[0.715, 0.285]","[0.758, 0.242]",0.043650793650793704,-0.4166666666666667,0
deepseek/deepseek-v4.1-flash,20260916T151414Z_8c27d32cd851,8c27d32cd851de5f217cb354b15dc270cc6f4ec2d02fb15dbb20fde0790c3571,dealing with people?,6,6,"[0.393, 0.607]","[0.321, 0.679]",0.07142857142857134,0.3333333333333333,2
google/gemini-3.7-flash,20260916T172946Z_cd5db529649a,cd5db529649a179032180cecafe4fd98aff124ee3654f7d60996de704e2b63ef,"Determination, perseverance",6,6,"[0.722, 0.278]","[0.833, 0.167]",0.11111111111111112,-0.6666666666666666,0
google/gemini-3.7-flash,20260916T172946Z_cd5db529649a,cd5db529649a179032180cecafe4fd98aff124ee3654f7d60996de704e2b63ef,God,6,6,"[0.500, 0.500]","[0.500, 0.500]",0.0,0.0,0
google/gemini-3.7-flash,20260916T172946Z_cd5db529649a,cd5db529649a179032180cecafe4fd98aff124ee3654f7d60996de704e2b63ef,Imagination,6,6,"[0.694, 0.306]","[0.706, 0.294]",0.011904761904761973,-0.25,5
google/gemini-3.7-flash,20260916T172946Z_cd5db529649a,cd5db529649a179032180cecafe4fd98aff124ee3654f7d60996de704e2b63ef,Independence,6,6,"[0.806, 0.194]","[0.754, 0.246]",0.05158730158730157,0.16666666666666666,4
google/gemini-3.7-flash,20260916T172946Z_cd5db529649a,cd5db529649a179032180cecafe4fd98aff124ee3654f7d60996de704e2b63ef,Obedience,6,6,"[0.500, 0.500]","[0.500, 0.500]",0.0,0.0,0
google/gemini-3.7-flash,20260916T172946Z_cd5db529649a,cd5db529649a179032180cecafe4fd98aff124ee3654f7d60996de704e2b63ef,dealing with people?,6,6,"[0.500, 0.500]","[0.500, 0.500]",0.0,0.0,0
meta/muse-spark-1.3,20260916T155331Z_3c9d4fedebca,3c9d4fedebcab41719f4247ca94fa35430f57d0a34f3a539012e0632e35413de,"Determination, perseverance",6,6,"[0.833, 0.167]","[0.833, 0.167]",0.0,0.0,0
meta/muse-spark-1.3,20260916T155331Z_3c9d4fedebca,3c9d4fedebcab41719f4247ca94fa35430f57d0a34f3a539012e0632e35413de,God,6,6,"[0.167, 0.833]","[0.167, 0.833]",0.0,0.0,0
meta/muse-spark-1.3,20260916T155331Z_3c9d4fedebca,3c9d4fedebcab41719f4247ca94fa35430f57d0a34f3a539012e0632e35413de,Imagination,6,6,"[0.833, 0.167]","[0.833, 0.167]",0.0,0.0,0
meta/muse-spark-1.3,20260916T155331Z_3c9d4fedebca,3c9d4fedebcab41719f4247ca94fa35430f57d0a34f3a539012e0632e35413de,Independence,6,6,"[0.833, 0.167]","[0.833, 0.167]",0.0,0.0,0
meta/muse-spark-1.3,20260916T155331Z_3c9d4fedebca,3c9d4fedebcab41719f4247ca94fa35430f57d0a34f3a539012e0632e35413de,Obedience,6,6,"[0.606, 0.394]","[0.328, 0.672]",0.2777777777777778,1.6666666666666667,0
meta/muse-spark-1.3,20260916T155331Z_3c9d4fedebca,3c9d4fedebcab41719f4247ca94fa35430f57d0a34f3a539012e0632e35413de,dealing with people?,6,6,"[0.556, 0.444]","[0.667, 0.333]",0.11111111111111116,-0.6666666666666666,0
moonshotai/kimi-k3,20260916T152010Z_0043a43d1a21,0043a43d1a2188f7c728ccda08eee7b062232366d8a4e912c72bdc938e37fe44,"Determination, perseverance",6,6,"[0.794, 0.206]","[0.833, 0.167]",0.039682539682539736,-0.16666666666666666,0
moonshotai/kimi-k3,20260916T152010Z_0043a43d1a21,0043a43d1a2188f7c728ccda08eee7b062232366d8a4e912c72bdc938e37fe44,God,6,6,"[0.333, 0.667]","[0.283, 0.717]",0.05000000000000002,0.25,0
moonshotai/kimi-k3,20260916T152010Z_0043a43d1a21,0043a43d1a2188f7c728ccda08eee7b062232366d8a4e912c72bdc938e37fe44,Imagination,6,6,"[0.806, 0.194]","[0.828, 0.172]",0.022222222222222296,-0.08333333333333333,0
moonshotai/kimi-k3,20260916T152010Z_0043a43d1a21,0043a43d1a2188f7c728ccda08eee7b062232366d8a4e912c72bdc938e37fe44,Independence,6,6,"[0.808, 0.192]","[0.833, 0.167]",0.02539682539682546,-0.16666666666666666,0
moonshotai/kimi-k3,20260916T152010Z_0043a43d1a21,0043a43d1a2188f7c728ccda08eee7b062232366d8a4e912c72bdc938e37fe44,Obedience,6,6,"[0.664, 0.336]","[0.572, 0.428]",0.09166666666666667,0.4166666666666667,0
moonshotai/kimi-k3,20260916T152010Z_0043a43d1a21,0043a43d1a2188f7c728ccda08eee7b062232366d8a4e912c72bdc938e37fe44,dealing with people?,6,6,"[0.595, 0.405]","[0.563, 0.437]",0.031746031746031717,0.16666666666666666,0
openai/gpt-5-nano,20260917T020418Z_7fe76f95937e,7fe76f95937ed145b996116a31855dae4ab8c3b67e3e7ccfb84a000437e27f96,"Determination, perseverance",6,6,"[0.778, 0.222]","[0.794, 0.206]",0.01587301587301583,-0.16666666666666666,2
openai/gpt-5-nano,20260917T020418Z_7fe76f95937e,7fe76f95937ed145b996116a31855dae4ab8c3b67e3e7ccfb84a000437e27f96,God,6,6,"[0.222, 0.778]","[0.278, 0.722]",0.055555555555555525,-0.3333333333333333,0
openai/gpt-5-nano,20260917T020418Z_7fe76f95937e,7fe76f95937ed145b996116a31855dae4ab8c3b67e3e7ccfb84a000437e27f96,Imagination,6,6,"[0.813, 0.187]","[0.813, 0.187]",1.3877787807814457e-17,0.0,1
openai/gpt-5-nano,20260917T020418Z_7fe76f95937e,7fe76f95937ed145b996116a31855dae4ab8c3b67e3e7ccfb84a000437e27f96,Independence,6,6,"[0.778, 0.222]","[0.813, 0.187]",0.03571428571428564,-0.25,1
