item_id,axis,n_options,position_balance,position_matrix,canonical_requests,reversed_requests,selected_presented_position_p,selected_position_normalized_entropy,selected_position_tv_from_uniform,selected_position_warning_tv_gt_0_25,canonical_choice_p,canonical_choice_normalized_entropy,schedule_first_ten_p,schedule_last_ten_p,schedule_half_tv,schedule_half_modal_sets,canonical_direction_p,reversed_direction_p,direction_tv,direction_modal_sets,legacy_dense_rated_p,direct_vs_legacy_rated_tv
Homosexuality,Survival <-> Self-expression,10,exact,"[[2, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 2]]",10,10,"[0.100, 0.100, 0.050, 0.100, 0.100, 0.100, 0.100, 0.150, 0.100, 0.100]",0.9886378109248467,0.049999999999999996,False,"[0.000, 0.000, 0.000, 0.000, 0.250, 0.000, 0.000, 0.000, 0.000, 0.750]",0.2442190502882155,"[0.000, 0.000, 0.000, 0.000, 0.100, 0.000, 0.000, 0.000, 0.000, 0.900]","[0.000, 0.000, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.600]",0.30000000000000004,[9] / [9],"[0.000, 0.000, 0.000, 0.000, 0.100, 0.000, 0.000, 0.000, 0.000, 0.900]","[0.000, 0.000, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.600]",0.30000000000000004,[9] / [9],"[0.094, 0.094, 0.097, 0.097, 0.100, 0.100, 0.103, 0.103, 0.106, 0.106]",0.7944444444444444
dealing with people?,Survival <-> Self-expression,2,exact,"[[10, 10], [10, 10]]",10,10,"[0.500, 0.500]",1.0,0.0,False,"[1.000, 0.000]",0.0,"[1.000, 0.000]","[1.000, 0.000]",0.0,[0] / [0],"[1.000, 0.000]","[1.000, 0.000]",0.0,[0] / [0],"[0.500, 0.500]",0.5
Signing a petition,Survival <-> Self-expression,3,nearest (6/7),"[[7, 6, 7], [7, 7, 6], [6, 7, 7]]",11,9,"[0.300, 0.350, 0.350]",0.9976834773764094,0.033333333333333326,False,"[0.000, 0.000, 1.000]",0.0,"[0.000, 0.000, 1.000]","[0.000, 0.000, 1.000]",0.0,[2] / [2],"[0.000, 0.000, 1.000]","[0.000, 0.000, 1.000]",0.0,[2] / [2],"[0.317, 0.329, 0.353]",0.6468253968253969
Attending peaceful demonstrations,Survival <-> Self-expression,3,nearest (6/7),"[[7, 6, 7], [7, 7, 6], [6, 7, 7]]",11,9,"[0.250, 0.350, 0.400]",0.9835386311891134,0.08333333333333334,False,"[0.000, 0.050, 0.950]",0.18069636157678548,"[0.000, 0.000, 1.000]","[0.000, 0.100, 0.900]",0.09999999999999999,[2] / [2],"[0.000, 0.091, 0.909]","[0.000, 0.000, 1.000]",0.09090909090909093,[2] / [2],"[0.333, 0.333, 0.333]",0.6166666666666667
Joining in boycotts,Survival <-> Self-expression,3,nearest (6/7),"[[7, 6, 7], [7, 7, 6], [6, 7, 7]]",11,9,"[0.300, 0.350, 0.350]",0.9976834773764094,0.033333333333333326,False,"[0.000, 0.000, 1.000]",0.0,"[0.000, 0.000, 1.000]","[0.000, 0.000, 1.000]",0.0,[2] / [2],"[0.000, 0.000, 1.000]","[0.000, 0.000, 1.000]",0.0,[2] / [2],"[0.333, 0.333, 0.333]",0.6666666666666667
Religion,Traditional <-> Secular-Rational,4,exact,"[[5, 5, 5, 5], [5, 5, 5, 5], [5, 5, 5, 5], [5, 5, 5, 5]]",12,8,"[0.250, 0.250, 0.250, 0.250]",1.0,0.0,False,"[0.000, 0.000, 0.000, 1.000]",0.0,"[0.000, 0.000, 0.000, 1.000]","[0.000, 0.000, 0.000, 1.000]",0.0,[3] / [3],"[0.000, 0.000, 0.000, 1.000]","[0.000, 0.000, 0.000, 1.000]",0.0,[3] / [3],"[0.162, 0.193, 0.251, 0.395]",0.605429292929293
God,Traditional <-> Secular-Rational,2,exact,"[[10, 10], [10, 10]]",10,10,"[0.500, 0.500]",1.0,0.0,False,"[0.000, 1.000]",0.0,"[0.000, 1.000]","[0.000, 1.000]",0.0,[1] / [1],"[0.000, 1.000]","[0.000, 1.000]",0.0,[1] / [1],"[0.500, 0.500]",0.5
Abortion,Traditional <-> Secular-Rational,10,exact,"[[2, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 2]]",10,10,"[0.150, 0.100, 0.150, 0.150, 0.100, 0.100, 0.050, 0.100, 0.050, 0.050]",0.9659134327745404,0.14999999999999997,False,"[0.000, 0.000, 0.000, 0.000, 0.500, 0.000, 0.050, 0.350, 0.050, 0.050]",0.5052456816589913,"[0.000, 0.000, 0.000, 0.000, 0.600, 0.000, 0.100, 0.200, 0.100, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.400, 0.000, 0.000, 0.500, 0.000, 0.100]",0.39999999999999997,[4] / [7],"[0.000, 0.000, 0.000, 0.000, 0.600, 0.000, 0.100, 0.200, 0.100, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.400, 0.000, 0.000, 0.500, 0.000, 0.100]",0.39999999999999997,[4] / [7],"[0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100]",0.65
Obedience,Traditional <-> Secular-Rational,2,exact,"[[10, 10], [10, 10]]",10,10,"[0.550, 0.450]",0.9927744539878083,0.05000000000000002,False,"[0.050, 0.950]",0.2863969571159562,"[0.100, 0.900]","[0.000, 1.000]",0.09999999999999999,[1] / [1],"[0.100, 0.900]","[0.000, 1.000]",0.09999999999999999,[1] / [1],"[0.500, 0.500]",0.44999999999999996
Independence,Traditional <-> Secular-Rational,2,exact,"[[10, 10], [10, 10]]",10,10,"[0.500, 0.500]",1.0,0.0,False,"[1.000, 0.000]",0.0,"[1.000, 0.000]","[1.000, 0.000]",0.0,[0] / [0],"[1.000, 0.000]","[1.000, 0.000]",0.0,[0] / [0],"[0.780, 0.220]",0.2202380952380953
