item,n,canonical_reversed,position_balance,presented_position_tv,presented_position_entropy,choice_entropy,schedule_half_tv,direction_tv,canonical_choice_probabilities
Abortion,10,10/10,exact,0.150,0.966,0.225,0.300,0.300,"[0,0,0,0,0.10,0,0,0.85,0,0.05]"
Attending peaceful demonstrations,3,11/9,nearest 6/7,0.067,0.991,0.181,0.100,0.091,"[0,0.05,0.95]"
"Determination, perseverance",2,10/10,exact,0.000,1.000,0.000,0.000,0.000,"[1,0]"
God,2,10/10,exact,0.000,1.000,0.000,0.000,0.000,"[0,1]"
Homosexuality,10,10/10,exact,0.000,1.000,0.000,0.000,0.000,"[0,0,0,0,0,0,0,0,0,1]"
Imagination,2,10/10,exact,0.000,1.000,0.000,0.000,0.000,"[1,0]"
Independence,2,10/10,exact,0.000,1.000,0.000,0.000,0.000,"[1,0]"
Joining in boycotts,3,11/9,nearest 6/7,0.033,0.998,0.000,0.000,0.000,"[0,0,1]"
Obedience,2,10/10,exact,0.000,1.000,0.000,0.000,0.000,"[0,1]"
Religion,4,12/8,exact,0.000,1.000,0.000,0.000,0.000,"[0,0,0,1]"
Signing a petition,3,11/9,nearest 6/7,0.033,0.998,0.000,0.000,0.000,"[0,0,1]"
dealing with people?,2,10/10,exact,0.000,1.000,0.000,0.000,0.000,"[1,0]"
