item,n,canonical_reversed,position_balance,presented_position_tv,presented_position_entropy,choice_entropy,schedule_half_tv,direction_tv,canonical_choice_probabilities
Abortion,10,10/10,exact,0.100,0.977,0.171,0.100,0.100,"[0,0,0.05,0.05,0.90,0,0,0,0,0]"
Attending peaceful demonstrations,3,11/9,nearest 6/7,0.133,0.955,0.613,0.000,0.323,"[0,0.60,0.40]"
"Determination, perseverance",2,10/10,exact,0.000,1.000,0.000,0.000,0.000,"[1,0]"
God,2,10/10,exact,0.000,1.000,0.000,0.000,0.000,"[0,1]"
Homosexuality,10,10/10,exact,0.000,1.000,0.000,0.000,0.000,"[0,0,0,0,0,0,0,0,0,1]"
Imagination,2,10/10,exact,0.000,1.000,0.000,0.000,0.000,"[1,0]"
Independence,2,10/10,exact,0.000,1.000,0.000,0.000,0.000,"[1,0]"
Joining in boycotts,3,11/9,nearest 6/7,0.167,0.937,0.626,0.100,0.192,"[0,0.55,0.45]"
Obedience,2,10/10,exact,0.100,0.971,0.971,0.200,0.000,"[0.40,0.60]"
Religion,4,12/8,exact,0.000,1.000,0.000,0.000,0.000,"[0,0,0,1]"
Signing a petition,3,11/9,nearest 6/7,0.033,0.998,0.000,0.000,0.000,"[0,1,0]"
dealing with people?,2,10/10,exact,0.250,0.811,0.993,0.300,0.100,"[0.45,0.55]"
