item_id,n_options,canonical_valid,reversed_valid,position_balance,selected_position_tv,selected_position_entropy,canonical_choice_entropy,schedule_half_tv,direction_tv,canonical_choice_p
Homosexuality,10,10,10,exact,0.000,1.000,0.000,0.000,0.000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000]"
dealing with people?,2,10,10,exact,0.150,0.934,0.993,0.300,0.300,"[0.550, 0.450]"
Signing a petition,3,11,9,nearest (6/7),0.033,0.998,0.000,0.000,0.000,"[0.000, 0.000, 1.000]"
Attending peaceful demonstrations,3,11,9,nearest (6/7),0.133,0.955,0.385,0.100,0.071,"[0.000, 0.150, 0.850]"
Joining in boycotts,3,11,9,nearest (6/7),0.033,0.998,0.000,0.000,0.000,"[0.000, 0.000, 1.000]"
Religion,4,12,8,exact,0.000,1.000,0.000,0.000,0.000,"[0.000, 0.000, 0.000, 1.000]"
God,2,10,10,exact,0.000,1.000,0.000,0.000,0.000,"[0.000, 1.000]"
Abortion,10,10,10,exact,0.050,0.989,0.086,0.100,0.100,"[0.000, 0.000, 0.000, 0.000, 0.950, 0.000, 0.050, 0.000, 0.000, 0.000]"
Obedience,2,10,10,exact,0.050,0.993,0.610,0.100,0.100,"[0.150, 0.850]"
Independence,2,10,10,exact,0.100,0.971,0.469,0.200,0.200,"[0.900, 0.100]"
"Determination, perseverance",2,10,10,exact,0.000,1.000,0.000,0.000,0.000,"[1.000, 0.000]"
Imagination,2,10,10,exact,0.000,1.000,0.000,0.000,0.000,"[1.000, 0.000]"
